id,candidate_id,position_id,stage,stage_start_date,recruitment_channel,recruitment_cost,notes
48dda9b5-e29f-4065-91cc-bd0aea2ee3e3,7335affe-5cdd-42fa-b939-afcb10be9f58,45b743f6-aa8e-4bc9-aac1-4020269a90ea,Offer accepted,1990-06-17,Company website,5436,
277a3f74-dcb5-4d24-9847-ffac34c287a0,40c2bc52-aa3c-435d-9178-b3c5c28f269b,ca800f48-24a3-4802-9779-138796462142,Offer accepted,1990-06-28,Company website,7238,
8bb93236-49f7-439a-bae9-e322ce30e5c0,87f19dd2-d1ea-4320-8797-46fac97b4d10,ca800f48-24a3-4802-9779-138796462142,Application received,1991-11-19,Job portal,0,
eb7e1c9c-1832-4584-b677-c8840c4753d1,87f19dd2-d1ea-4320-8797-46fac97b4d10,ca800f48-24a3-4802-9779-138796462142,Screening,1991-12-13,Job portal,363,
a9442dc1-eecc-4641-8c2a-a64279d9e226,29a1ae0f-1c31-4690-9048-151b09522584,1b1f9de8-7779-417b-a506-45ca3cfe4def,Application received,1991-12-20,Other,0,
7f145e50-4466-4452-ba11-c7817b9d2609,87f19dd2-d1ea-4320-8797-46fac97b4d10,ca800f48-24a3-4802-9779-138796462142,Interview scheduled,1992-01-10,Agency,904,
bb44a780-8013-4a99-a051-b5e4660bc1c7,29a1ae0f-1c31-4690-9048-151b09522584,1b1f9de8-7779-417b-a506-45ca3cfe4def,Screening,1992-01-11,Company website,340,
fc88a0de-3f2c-4a60-92af-e1c747d99b28,29a1ae0f-1c31-4690-9048-151b09522584,1b1f9de8-7779-417b-a506-45ca3cfe4def,Interview scheduled,1992-01-13,Job portal,836,
176e3ea5-e6c8-4c84-8188-144e586be674,29a1ae0f-1c31-4690-9048-151b09522584,1b1f9de8-7779-417b-a506-45ca3cfe4def,Cultural interview,1992-01-20,Company website,1671,
d7b752a3-4c1b-4e9b-973e-6e9424c3c322,87f19dd2-d1ea-4320-8797-46fac97b4d10,ca800f48-24a3-4802-9779-138796462142,Cultural interview,1992-01-31,Other,1839,
f1a2dc54-20dd-4cce-b670-9ee84a785627,29a1ae0f-1c31-4690-9048-151b09522584,1b1f9de8-7779-417b-a506-45ca3cfe4def,Technical interview,1992-02-07,Job portal,3511,
f0128bd6-204f-4b07-bf35-2f42a024258a,87f19dd2-d1ea-4320-8797-46fac97b4d10,ca800f48-24a3-4802-9779-138796462142,Technical interview,1992-02-12,Company website,3316,
47877724-b492-4a7b-8207-fa00ea83fadc,29a1ae0f-1c31-4690-9048-151b09522584,1b1f9de8-7779-417b-a506-45ca3cfe4def,Offer extended,1992-02-20,Agency,4293,
d96c3888-9d60-448e-a7ff-7c8308c6d685,87f19dd2-d1ea-4320-8797-46fac97b4d10,ca800f48-24a3-4802-9779-138796462142,Offer declined,1992-03-01,Job portal,3936,
9fbeb465-0658-4c7c-9b53-ea149404385c,29a1ae0f-1c31-4690-9048-151b09522584,1b1f9de8-7779-417b-a506-45ca3cfe4def,Offer accepted,1992-03-19,Job portal,6525,
6ba5eab0-c698-4932-a25c-e87f25c9d304,737f4fd9-54f5-448e-b641-309a90654c02,ba55a34e-7c02-4224-adb8-e673810d8c8a,Application received,1992-03-22,Company website,0,
5d89d033-6faa-4ab2-b10e-a06d3536464a,737f4fd9-54f5-448e-b641-309a90654c02,ba55a34e-7c02-4224-adb8-e673810d8c8a,Screening,1992-03-31,Job portal,265,
e81ff520-81d9-4fe8-8044-fe035e5e41fa,737f4fd9-54f5-448e-b641-309a90654c02,ba55a34e-7c02-4224-adb8-e673810d8c8a,Interview scheduled,1992-04-13,Job portal,1013,
f773939a-c9be-4f4f-9563-5bd19842c9e7,737f4fd9-54f5-448e-b641-309a90654c02,ba55a34e-7c02-4224-adb8-e673810d8c8a,Cultural interview,1992-05-09,Job portal,2157,
93f1fb47-a8d7-45ab-b3cd-3394cc80f5f0,737f4fd9-54f5-448e-b641-309a90654c02,ba55a34e-7c02-4224-adb8-e673810d8c8a,Technical interview,1992-06-02,Job portal,2513,
a383f2fe-22a9-4cb4-81fe-62364a2d8c34,737f4fd9-54f5-448e-b641-309a90654c02,ba55a34e-7c02-4224-adb8-e673810d8c8a,Offer expired,1992-07-07,Agency,4431,
cac65d3a-cb14-4bee-ae7d-fe773e21fed5,b7216aba-ddea-4195-9911-f5a8cc60ed9d,f65c0b5e-6d62-49cd-9ee8-5ce67543f1de,Application received,1992-07-12,Job portal,0,
5b2d4c92-4a78-481c-b520-8a7dc705994d,9e1d2ed1-727f-4346-a38b-eeee2e768c6b,1b1f9de8-7779-417b-a506-45ca3cfe4def,Application received,1992-07-21,Other,0,
e0d5b032-d376-4b18-b38f-aaaeb8982ea1,b7216aba-ddea-4195-9911-f5a8cc60ed9d,f65c0b5e-6d62-49cd-9ee8-5ce67543f1de,Screening,1992-07-31,Other,237,
62072a3b-735a-4c4d-a61e-bcd5b77abfdc,9e1d2ed1-727f-4346-a38b-eeee2e768c6b,1b1f9de8-7779-417b-a506-45ca3cfe4def,Screening,1992-08-05,Job portal,354,
1ee11715-3362-4b12-8eed-17e067705689,9e1d2ed1-727f-4346-a38b-eeee2e768c6b,1b1f9de8-7779-417b-a506-45ca3cfe4def,Interview scheduled,1992-08-06,Job portal,987,
5da3e9d8-0818-4507-8a7e-1dd6fe162e7a,9e1d2ed1-727f-4346-a38b-eeee2e768c6b,1b1f9de8-7779-417b-a506-45ca3cfe4def,Cultural interview,1992-08-18,Job portal,1866,
f8d3d996-a58b-42c1-bc7e-727f51b7cfa2,9e1d2ed1-727f-4346-a38b-eeee2e768c6b,1b1f9de8-7779-417b-a506-45ca3cfe4def,Technical interview,1992-09-16,Employee referral,2994,
db5f3048-a6fd-463a-b77c-8397e2816c89,b7216aba-ddea-4195-9911-f5a8cc60ed9d,f65c0b5e-6d62-49cd-9ee8-5ce67543f1de,Offer expired,1992-09-17,Job portal,942,
309499f0-8872-4fdc-973c-aba500510afd,9e1d2ed1-727f-4346-a38b-eeee2e768c6b,1b1f9de8-7779-417b-a506-45ca3cfe4def,Offer extended,1992-09-23,Job portal,4525,
3a423f48-a099-4a1c-aed7-7e03460206e0,9e1d2ed1-727f-4346-a38b-eeee2e768c6b,1b1f9de8-7779-417b-a506-45ca3cfe4def,Offer accepted,1992-10-09,Agency,6189,
a410110a-3921-4366-b452-5f7d030e6980,26487d4c-12f4-4316-af11-641a569f6937,b56c4013-6523-40e5-bc23-4284a1e4b4da,Application received,1993-01-10,Job portal,0,
093beacd-ce29-4dbc-ae8f-c5f5f649a612,26487d4c-12f4-4316-af11-641a569f6937,b56c4013-6523-40e5-bc23-4284a1e4b4da,Screening,1993-01-14,Job portal,215,
55238b3b-ae4e-4985-b8ee-46063712d01c,26487d4c-12f4-4316-af11-641a569f6937,b56c4013-6523-40e5-bc23-4284a1e4b4da,Interview scheduled,1993-01-20,Company website,1137,
7f88bd06-aa98-4994-b1cd-00dee8ef60fc,26487d4c-12f4-4316-af11-641a569f6937,b56c4013-6523-40e5-bc23-4284a1e4b4da,Cultural interview,1993-01-25,Company website,2197,
88d25de4-f10d-45f6-bd14-1059bf7d6e82,26487d4c-12f4-4316-af11-641a569f6937,b56c4013-6523-40e5-bc23-4284a1e4b4da,Technical interview,1993-01-30,Job portal,2784,
09796cb4-7057-4224-b610-90acc6eaef2e,26487d4c-12f4-4316-af11-641a569f6937,b56c4013-6523-40e5-bc23-4284a1e4b4da,Offer extended,1993-02-04,Agency,4303,
2d5c8432-02b4-448a-9b03-01fd31b6b743,26487d4c-12f4-4316-af11-641a569f6937,b56c4013-6523-40e5-bc23-4284a1e4b4da,Offer accepted,1993-02-11,Job portal,6064,
52122a70-f0e8-4fa3-add5-c02dfdc86bfb,3c0af195-6456-42c2-a29c-9b2f118ebeb9,1b1f9de8-7779-417b-a506-45ca3cfe4def,Application received,1993-02-14,Job portal,0,
3459162d-1dfa-4253-9801-9bd53bc8f321,3c0af195-6456-42c2-a29c-9b2f118ebeb9,1b1f9de8-7779-417b-a506-45ca3cfe4def,Screening,1993-02-21,Job portal,227,
354b0e3b-6dfd-4c31-ad6a-681444a75f92,3c0af195-6456-42c2-a29c-9b2f118ebeb9,1b1f9de8-7779-417b-a506-45ca3cfe4def,Interview scheduled,1993-02-23,Other,1084,
0cc9296f-024e-4bff-b3b0-f2c7b715fd55,3c0af195-6456-42c2-a29c-9b2f118ebeb9,1b1f9de8-7779-417b-a506-45ca3cfe4def,Cultural interview,1993-02-25,Job portal,1542,
f560a5ae-3bf0-4675-9bff-0ec57561b4ef,f089d40e-73f2-4865-805d-e4edc241a4ff,1b1f9de8-7779-417b-a506-45ca3cfe4def,Application received,1993-03-10,Job portal,0,
46855abd-f8ec-448b-9248-3399b82a0aa2,f089d40e-73f2-4865-805d-e4edc241a4ff,1b1f9de8-7779-417b-a506-45ca3cfe4def,Screening,1993-04-07,Job portal,382,
632497c5-29cd-4905-a64a-d3fae0f5128b,3c0af195-6456-42c2-a29c-9b2f118ebeb9,1b1f9de8-7779-417b-a506-45ca3cfe4def,Offer expired,1993-04-18,Job portal,2585,
eaa74361-c254-4e83-ba95-93d3a087992d,f089d40e-73f2-4865-805d-e4edc241a4ff,1b1f9de8-7779-417b-a506-45ca3cfe4def,Interview scheduled,1993-05-02,Job portal,1042,
0ee42e4b-1f66-4a81-87cb-feb380615a3c,7b2c45b5-dedb-4421-ad2c-44a33dab9f94,ba55a34e-7c02-4224-adb8-e673810d8c8a,Application received,1993-05-04,Company website,0,
50b4a555-a019-4e21-9b52-e7d65cd7dae0,f089d40e-73f2-4865-805d-e4edc241a4ff,1b1f9de8-7779-417b-a506-45ca3cfe4def,Cultural interview,1993-05-18,Job portal,1845,
53a7392b-e9ee-4956-8472-9dd4df64fc2b,f089d40e-73f2-4865-805d-e4edc241a4ff,1b1f9de8-7779-417b-a506-45ca3cfe4def,Technical interview,1993-05-23,Job portal,3084,
36ada9ca-331d-4320-97fe-cfa9180e8250,7b2c45b5-dedb-4421-ad2c-44a33dab9f94,ba55a34e-7c02-4224-adb8-e673810d8c8a,Screening,1993-05-27,Employee referral,384,
925176d6-2d22-4a37-9ffa-b469c08adf22,f089d40e-73f2-4865-805d-e4edc241a4ff,1b1f9de8-7779-417b-a506-45ca3cfe4def,Offer extended,1993-06-07,Job portal,4668,
b82fc102-184e-4760-9dfa-d11eb1ffcff3,7b2c45b5-dedb-4421-ad2c-44a33dab9f94,ba55a34e-7c02-4224-adb8-e673810d8c8a,Interview scheduled,1993-06-08,Agency,839,
a99b9da8-e8db-4b98-9b94-a4e02ffb90c9,95980214-1fe3-4560-baa3-912f31845efc,1b1f9de8-7779-417b-a506-45ca3cfe4def,Application received,1993-06-13,Employee referral,0,
9394f384-3a50-4083-8a2d-06c696b673a7,7b2c45b5-dedb-4421-ad2c-44a33dab9f94,ba55a34e-7c02-4224-adb8-e673810d8c8a,Cultural interview,1993-06-14,Job portal,1767,
f41b307c-6f88-4775-90da-2f9a61bed0b7,95980214-1fe3-4560-baa3-912f31845efc,1b1f9de8-7779-417b-a506-45ca3cfe4def,Screening,1993-06-16,Employee referral,282,
c2100280-1aa7-417b-aadb-3e83e0aced93,7b2c45b5-dedb-4421-ad2c-44a33dab9f94,ba55a34e-7c02-4224-adb8-e673810d8c8a,Technical interview,1993-06-19,Other,3084,
22e58d54-66cd-48a8-82ce-308b14d125eb,95980214-1fe3-4560-baa3-912f31845efc,1b1f9de8-7779-417b-a506-45ca3cfe4def,Interview scheduled,1993-07-01,Job portal,893,
e8030b30-0992-42ae-9186-fdf31ef672e0,f089d40e-73f2-4865-805d-e4edc241a4ff,1b1f9de8-7779-417b-a506-45ca3cfe4def,Offer accepted,1993-07-04,Job portal,5952,
85297c40-dd7e-4092-b1ee-3d67c4e07393,2e03c6a9-7582-4f05-8d54-5996935a174f,b56c4013-6523-40e5-bc23-4284a1e4b4da,Application received,1993-07-05,Job portal,0,
992159c7-0f8c-4f44-a2de-c0de20cf93b9,7b2c45b5-dedb-4421-ad2c-44a33dab9f94,ba55a34e-7c02-4224-adb8-e673810d8c8a,Offer extended,1993-07-12,Employee referral,4296,
e689f593-b47e-418a-b5a1-73d192b9baaf,7b2c45b5-dedb-4421-ad2c-44a33dab9f94,ba55a34e-7c02-4224-adb8-e673810d8c8a,Offer declined,1993-07-22,Company website,6608,
1f50b46a-4081-4567-b8ab-a5d5329db954,95980214-1fe3-4560-baa3-912f31845efc,1b1f9de8-7779-417b-a506-45ca3cfe4def,Cultural interview,1993-07-25,Job portal,1604,
99fea609-ff0a-4d31-8b49-5d952a209149,2e03c6a9-7582-4f05-8d54-5996935a174f,b56c4013-6523-40e5-bc23-4284a1e4b4da,Screening,1993-07-25,Job portal,260,
3cd70c88-1d2a-429d-be6e-66ccb38b0739,95980214-1fe3-4560-baa3-912f31845efc,1b1f9de8-7779-417b-a506-45ca3cfe4def,Technical interview,1993-08-18,Job portal,3272,
285be22d-a4f3-4086-8b2a-1bc265202d35,2e03c6a9-7582-4f05-8d54-5996935a174f,b56c4013-6523-40e5-bc23-4284a1e4b4da,Interview scheduled,1993-08-23,Employee referral,869,
d3be836e-e7f1-47c9-9f69-0ebf7868ba9d,95980214-1fe3-4560-baa3-912f31845efc,1b1f9de8-7779-417b-a506-45ca3cfe4def,Offer extended,1993-09-08,Job portal,4307,
b6cc738e-a354-4ba9-ae94-9731ed807a72,2e03c6a9-7582-4f05-8d54-5996935a174f,b56c4013-6523-40e5-bc23-4284a1e4b4da,Cultural interview,1993-09-14,Job portal,1802,
03c4f071-73c8-4b8b-89ca-8779187c0fb3,2e03c6a9-7582-4f05-8d54-5996935a174f,b56c4013-6523-40e5-bc23-4284a1e4b4da,Technical interview,1993-10-02,Company website,3209,
4a4b949d-2c25-439c-8a08-097300c90168,95980214-1fe3-4560-baa3-912f31845efc,1b1f9de8-7779-417b-a506-45ca3cfe4def,Offer accepted,1993-10-05,Job portal,5779,
943ece0e-b83f-41e2-8251-dbc6361c42c8,2e03c6a9-7582-4f05-8d54-5996935a174f,b56c4013-6523-40e5-bc23-4284a1e4b4da,Offer extended,1993-10-07,Job portal,3853,
1accff97-4230-4b82-980b-e1fafb3acda4,2e03c6a9-7582-4f05-8d54-5996935a174f,b56c4013-6523-40e5-bc23-4284a1e4b4da,Offer accepted,1993-11-06,Other,6236,
17d1edf0-fa5d-4c15-af11-33e5ecdf149d,91e0698c-dd7e-421f-bc85-7c0000731c3e,ba55a34e-7c02-4224-adb8-e673810d8c8a,Application received,1994-01-12,Company website,0,
2add07fb-e50e-4964-b35f-6055c87e5e4c,994a127f-6886-4087-a636-546d0b31a656,ba55a34e-7c02-4224-adb8-e673810d8c8a,Application received,1994-01-18,Other,0,
208579f8-7ae6-437b-9347-764af1a10452,91e0698c-dd7e-421f-bc85-7c0000731c3e,ba55a34e-7c02-4224-adb8-e673810d8c8a,Screening,1994-02-09,Employee referral,239,
5b8efe93-1097-46b7-9a13-22a7805037e2,994a127f-6886-4087-a636-546d0b31a656,ba55a34e-7c02-4224-adb8-e673810d8c8a,Screening,1994-02-12,Job portal,371,
36eec2b8-f4c8-4a1e-b0d7-a71e5ffe5e56,91e0698c-dd7e-421f-bc85-7c0000731c3e,ba55a34e-7c02-4224-adb8-e673810d8c8a,Interview scheduled,1994-02-12,Agency,926,
80e3dea5-e2d0-4bc7-90c1-7ada01e917c0,91e0698c-dd7e-421f-bc85-7c0000731c3e,ba55a34e-7c02-4224-adb8-e673810d8c8a,Cultural interview,1994-02-25,Company website,1581,
759232b5-eb44-4735-9318-9c1af6ca19dd,994a127f-6886-4087-a636-546d0b31a656,ba55a34e-7c02-4224-adb8-e673810d8c8a,Interview scheduled,1994-03-02,Company website,889,
e6c5ef27-23ea-4df9-b715-5295d602ad33,91e0698c-dd7e-421f-bc85-7c0000731c3e,ba55a34e-7c02-4224-adb8-e673810d8c8a,Technical interview,1994-03-16,Company website,2810,
f84b8fe5-1e74-4795-b465-699416645e85,91e0698c-dd7e-421f-bc85-7c0000731c3e,ba55a34e-7c02-4224-adb8-e673810d8c8a,Offer extended,1994-03-19,Job portal,5204,
a01d47b3-90b7-40ee-bb32-07571e4628cb,1920fce1-c711-4eb4-95ca-1cccb5ec470b,ddae60da-e7a3-4217-a385-c24a598d356b,Application received,1994-03-22,Company website,0,
41d1dbaf-2029-4787-b866-6190ef2773b3,994a127f-6886-4087-a636-546d0b31a656,ba55a34e-7c02-4224-adb8-e673810d8c8a,Cultural interview,1994-03-24,Company website,2072,
2193cf4a-1ed2-4445-8754-4d4716375ac2,1920fce1-c711-4eb4-95ca-1cccb5ec470b,ddae60da-e7a3-4217-a385-c24a598d356b,Screening,1994-03-25,Job portal,204,
1dce401e-bd6a-4377-893f-631661092043,994a127f-6886-4087-a636-546d0b31a656,ba55a34e-7c02-4224-adb8-e673810d8c8a,Technical interview,1994-03-29,Job portal,3501,
b141146f-12da-4753-ae39-f99e447e6980,994a127f-6886-4087-a636-546d0b31a656,ba55a34e-7c02-4224-adb8-e673810d8c8a,Offer extended,1994-04-03,Company website,4208,
658b1b50-c49e-44c5-a34f-152c9bb5f1ae,91e0698c-dd7e-421f-bc85-7c0000731c3e,ba55a34e-7c02-4224-adb8-e673810d8c8a,Offer accepted,1994-04-04,Employee referral,6822,
77f8bc99-1f72-4fc0-a41d-ba8bfac1c8f7,1920fce1-c711-4eb4-95ca-1cccb5ec470b,ddae60da-e7a3-4217-a385-c24a598d356b,Interview scheduled,1994-04-24,Job portal,959,
1b485d72-95a1-4941-9665-ffffb22f1bfb,994a127f-6886-4087-a636-546d0b31a656,ba55a34e-7c02-4224-adb8-e673810d8c8a,Offer accepted,1994-04-25,Company website,6482,
054b66d6-c5e9-4088-b4fd-b478b91a5a1e,1920fce1-c711-4eb4-95ca-1cccb5ec470b,ddae60da-e7a3-4217-a385-c24a598d356b,Cultural interview,1994-04-30,Job portal,1898,
b31f352f-49a1-4033-884b-33424f45a73e,9d7f23a4-9bdf-4516-94ee-746ad52b0822,ba55a34e-7c02-4224-adb8-e673810d8c8a,Application received,1994-05-15,Agency,0,
0e97b961-1743-452f-a3ec-f6b603c98a94,9d7f23a4-9bdf-4516-94ee-746ad52b0822,ba55a34e-7c02-4224-adb8-e673810d8c8a,Screening,1994-05-16,Job portal,231,
4951ff2f-106f-4779-8dec-65c870728d46,1920fce1-c711-4eb4-95ca-1cccb5ec470b,ddae60da-e7a3-4217-a385-c24a598d356b,Technical interview,1994-05-30,Job portal,2936,
d79de7ef-7a1c-49c2-b9e1-eadf8308e704,25d08acf-3a9b-4288-befc-96ee1f0e42c6,ba55a34e-7c02-4224-adb8-e673810d8c8a,Application received,1994-06-08,Agency,0,
f1dab204-768f-486f-9dd2-5f2acd1875fa,c31fbc8a-d099-4033-ab88-424e77179487,ba55a34e-7c02-4224-adb8-e673810d8c8a,Application received,1994-06-09,Job portal,0,
9653d914-109b-4692-9abd-2e0d1c599714,1920fce1-c711-4eb4-95ca-1cccb5ec470b,ddae60da-e7a3-4217-a385-c24a598d356b,Offer extended,1994-06-12,Job portal,4034,
bc9635bb-c426-4ec1-9737-68384815dbad,c31fbc8a-d099-4033-ab88-424e77179487,ba55a34e-7c02-4224-adb8-e673810d8c8a,Screening,1994-06-15,Job portal,254,
abd93b93-84e5-4fc2-b73e-5d10363b06d3,1920fce1-c711-4eb4-95ca-1cccb5ec470b,ddae60da-e7a3-4217-a385-c24a598d356b,Offer accepted,1994-06-18,Job portal,6526,
76380579-1781-4f10-94fb-93aacc8daafb,c31fbc8a-d099-4033-ab88-424e77179487,ba55a34e-7c02-4224-adb8-e673810d8c8a,Interview scheduled,1994-07-05,Company website,874,
47901222-d7db-44ec-99a0-d00b6f4548ab,25d08acf-3a9b-4288-befc-96ee1f0e42c6,ba55a34e-7c02-4224-adb8-e673810d8c8a,Screening,1994-07-06,Job portal,230,
b19b7ab0-8d43-438f-b67c-4ef96413d01f,9d7f23a4-9bdf-4516-94ee-746ad52b0822,ba55a34e-7c02-4224-adb8-e673810d8c8a,Offer expired,1994-07-07,Company website,761,
5bc0b82d-786f-4f64-bf33-0a6f559581d7,eb88b9be-5d3c-4fdc-9331-c9ef0b0cbf80,ba55a34e-7c02-4224-adb8-e673810d8c8a,Application received,1994-07-07,Other,0,
fed4b783-2720-4590-b7fc-145947f961b9,eb88b9be-5d3c-4fdc-9331-c9ef0b0cbf80,ba55a34e-7c02-4224-adb8-e673810d8c8a,Screening,1994-07-09,Employee referral,339,
974adbc8-ab7c-4320-905e-b00ffb6fa553,c31fbc8a-d099-4033-ab88-424e77179487,ba55a34e-7c02-4224-adb8-e673810d8c8a,Cultural interview,1994-07-09,Company website,1929,
d0c9594b-684e-47fd-b383-fce2752fdd84,25d08acf-3a9b-4288-befc-96ee1f0e42c6,ba55a34e-7c02-4224-adb8-e673810d8c8a,Interview scheduled,1994-07-12,Other,1142,
8a3e4c6b-a7b1-4e1b-a752-8dbe0d03b5c5,eb88b9be-5d3c-4fdc-9331-c9ef0b0cbf80,ba55a34e-7c02-4224-adb8-e673810d8c8a,Interview scheduled,1994-07-12,Company website,805,
8f55c2d0-8f26-4a51-9dc8-4884321227eb,25d08acf-3a9b-4288-befc-96ee1f0e42c6,ba55a34e-7c02-4224-adb8-e673810d8c8a,Cultural interview,1994-07-14,Company website,1955,
1bd7e73f-5bb8-4697-be15-cf80b0f6eab3,eb88b9be-5d3c-4fdc-9331-c9ef0b0cbf80,ba55a34e-7c02-4224-adb8-e673810d8c8a,Cultural interview,1994-07-15,Job portal,1811,
be8a7740-3c7c-46dd-b5bc-58239d1c73a6,c31fbc8a-d099-4033-ab88-424e77179487,ba55a34e-7c02-4224-adb8-e673810d8c8a,Technical interview,1994-07-21,Company website,3055,
940202d8-61e0-4cb1-8d06-0b799aec87e6,0df6ae57-a8ca-4a3d-b37c-76a1b8676fb3,1b1f9de8-7779-417b-a506-45ca3cfe4def,Application received,1994-07-23,Job portal,0,
38c0920c-1984-4aab-bd8c-979f17750877,25d08acf-3a9b-4288-befc-96ee1f0e42c6,ba55a34e-7c02-4224-adb8-e673810d8c8a,Technical interview,1994-07-30,Job portal,2502,
831feacb-652c-417c-9cdc-7cd973046d61,c31fbc8a-d099-4033-ab88-424e77179487,ba55a34e-7c02-4224-adb8-e673810d8c8a,Offer extended,1994-08-02,Other,4743,
2afd275f-dd52-4815-a5f8-0e07b271f02e,eb88b9be-5d3c-4fdc-9331-c9ef0b0cbf80,ba55a34e-7c02-4224-adb8-e673810d8c8a,Technical interview,1994-08-10,Job portal,2431,
